PreferedOrderCat,CityTier,用户数,流失人数,流失率,平均订单数,样本提示
Mobile Phone,3,298,126,0.4228187919463087,1.9630872483221478,可观察
Fashion,2,24,8,0.3333333333333333,2.3333333333333335,小样本
Mobile Phone,2,130,40,0.3076923076923077,2.0538461538461537,可观察
Mobile Phone,1,1652,404,0.24455205811138014,2.232445520581114,可观察
Fashion,3,316,68,0.21518987341772153,4.3575949367088604,可观察
Laptop & Accessory,3,928,150,0.16163793103448276,2.773706896551724,可观察
Others,3,50,8,0.16,4.98,可观察
Grocery,3,130,16,0.12307692307692308,4.7,可观察
Fashion,1,486,52,0.10699588477366255,3.6213991769547325,可观察
Others,1,188,12,0.06382978723404255,5.25531914893617,可观察
Laptop & Accessory,1,1074,60,0.055865921787709494,2.792364990689013,可观察
Grocery,1,266,4,0.015037593984962405,4.590225563909774,可观察
Grocery,2,14,0,0.0,3.7857142857142856,小样本
Laptop & Accessory,2,48,0,0.0,2.0416666666666665,可观察
Others,2,26,0,0.0,5.730769230769231,小样本
